"path"|"type"|"size"
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW"|"directory"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul"|"directory"|18168
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix"|"directory"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\video"|"directory"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\HW_7_Task_1(7).py"|"file"|2773
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\HW_7_Task_2.py"|"file"|3248
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\test.py"|"file"|392
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy"|"directory"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\filefvdvd.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\file_file.csv"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\file_test.bin"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\one-data_0000001.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\thr-data_0000002.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\two-data_0000003.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\1_image.jpeg"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\2_image.png"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\3_image.csv"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_one copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_test.bin"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_three copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\file_two copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\one-video.mp3"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\three-video.mkv"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Files_for_HW\Copy\two-video.mp3"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__"|"directory"|6793
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\generate_files.py"|"file"|1817
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\rename_files.py"|"file"|821
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\sort_files.py"|"file"|1866
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__init__.py"|"file"|78
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\generate_files.cpython-311.pyc"|"file"|2885
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\rename_files.cpython-311.pyc"|"file"|1520
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\sort_files.cpython-311.pyc"|"file"|2110
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\function_modul\__pycache__\__init__.cpython-311.pyc"|"file"|278
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\1_image.jpeg"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\2_image.png"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\3_image.csv"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file.doc"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_one copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_test.bin"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_three copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\file_two copy.txt"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\one-video.mp3"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\three-video.mkv"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\Mix\two-video.mp3"|"file"|0
"C:\Users\User\Documents\PC_Data\Study\Python_Level-2\Homework_7\video\one-video.mp3"|"file"|0
